course_name,input_rows,dropped_empty_instructors,dropped_out_of_year_range,dropped_by_cap,output_rows
COMP2011,311,43,85,133,50
COMP1022P,356,40,224,42,50
COMP2012,109,8,36,15,50
COMP1023,63,7,0,6,50
COMP1021,1234,190,211,783,50
COMP3711,73,7,14,2,50
COMP2211,60,3,0,7,50
COMP2711H,66,0,13,3,50
COMP2711,177,19,52,56,50
COMP2012H,75,2,25,0,48
COMP3511,67,4,15,0,48
COMP1942,73,3,26,0,44
COMP3021,51,1,12,0,38
COMP1022Q,231,14,179,0,38
COMP1001,74,14,23,0,37
COMP5212,43,7,0,0,36
COMP2611,62,2,24,0,36
COMP3111,62,4,26,0,32
COMP1944,31,2,0,0,29
COMP3311,49,4,18,0,27
COMP3031,29,1,4,0,24
COMP5621,34,9,3,0,22
COMP4211,34,3,9,0,22
COMP3721,22,1,3,0,18
COMP4441,20,0,3,0,17
COMP1029C,37,7,13,0,17
COMP1029J,25,5,5,0,15
COMP1029V,21,1,5,0,15
COMP3711H,17,1,2,0,14
COMP3211,24,3,7,0,14
COMP1943,22,2,6,0,14
COMP5211,16,3,0,0,13
COMP4021,23,1,9,0,13
COMP4421,15,0,3,0,12
COMP4431,18,0,7,0,11
COMP4651,14,1,4,0,9
COMP4471,9,0,0,0,9
COMP4332,11,0,2,0,9
COMP4521,9,0,1,0,8
COMP4411,12,0,4,0,8
COMP2633,11,3,0,0,8
COMP4632,9,0,1,0,8
COMP3632,14,0,6,0,8
COMP4901U,7,0,0,0,7
COMP4331,16,1,8,0,7
COMP1029P,19,6,6,0,7
COMP4221,13,0,6,0,7
COMP4621,10,0,4,0,6
COMP5631,6,0,0,0,6
COMP3111H,9,0,3,0,6
COMP4321,8,0,2,0,6
COMP4462,8,2,1,0,5
COMP4461,7,0,2,0,5
COMP4901Y,5,0,0,0,5
COMP4901W,5,0,0,0,5
COMP4901N,5,0,0,0,5
COMP4222,5,0,0,0,5
COMP3631,5,1,0,0,4
COMP4541,4,0,0,0,4
COMP4641,6,0,2,0,4
COMP5311,4,0,0,0,4
COMP4611,4,0,0,0,4
COMP4634,3,0,0,0,3
COMP4631,8,0,5,0,3
COMP4451,6,1,2,0,3
COMP1028,2,0,0,0,2
COMP4531,3,1,0,0,2
COMP4121,2,0,0,0,2
COMP4633,2,0,0,0,2
COMP4901O,2,0,0,0,2
COMP3633,2,0,0,0,2
COMP4981,3,1,1,0,1
COMP4901K,2,0,1,0,1
COMP5221,1,0,0,0,1
COMP4635,2,1,0,0,1
COMP4910,1,1,0,0,0
COMP1991,1,1,0,0,0
COMP4900,5,5,0,0,0
