course_name,input_rows,dropped_out_of_year_range,dropped_by_cap,output_rows
COMP1022P,356,12,264,80
COMP1022Q,231,18,133,80
COMP2012,109,4,25,80
COMP1021,1234,26,1128,80
COMP2011,311,7,224,80
COMP2711,177,5,92,80
COMP1001,74,2,0,72
COMP1942,73,1,0,72
COMP2012H,75,3,0,72
COMP3711,73,2,0,71
COMP3511,67,0,0,67
COMP2711H,66,1,0,65
COMP1023,63,0,0,63
COMP3111,62,1,0,61
COMP2211,60,0,0,60
COMP2611,62,3,0,59
COMP3021,51,1,0,50
COMP3311,49,1,0,48
COMP5212,43,0,0,43
COMP4211,34,0,0,34
COMP5621,34,0,0,34
COMP1944,31,0,0,31
COMP1029C,37,6,0,31
COMP3031,29,1,0,28
COMP3211,24,0,0,24
COMP1029J,25,1,0,24
COMP4021,23,0,0,23
COMP1943,22,0,0,22
COMP3721,22,0,0,22
COMP1029V,21,1,0,20
COMP4441,20,0,0,20
COMP1029P,19,2,0,17
COMP3711H,17,0,0,17
COMP4431,18,1,0,17
COMP5211,16,0,0,16
COMP4331,16,0,0,16
COMP4421,15,0,0,15
COMP4651,14,0,0,14
COMP3632,14,0,0,14
COMP4221,13,0,0,13
COMP2633,11,0,0,11
COMP4332,11,0,0,11
COMP4411,12,1,0,11
COMP4621,10,0,0,10
COMP3111H,9,0,0,9
COMP4471,9,0,0,9
COMP4632,9,0,0,9
COMP4321,8,0,0,8
COMP4462,8,0,0,8
COMP4521,9,1,0,8
COMP4631,8,0,0,8
COMP4901U,7,0,0,7
COMP4461,7,0,0,7
COMP4641,6,0,0,6
COMP5631,6,0,0,6
COMP4222,5,0,0,5
COMP4901N,5,0,0,5
COMP3631,5,0,0,5
COMP4901Y,5,0,0,5
COMP4901W,5,0,0,5
COMP4451,6,1,0,5
COMP4900,5,0,0,5
COMP5311,4,0,0,4
COMP4541,4,0,0,4
COMP4611,4,0,0,4
COMP4634,3,0,0,3
COMP4981,3,0,0,3
COMP4531,3,0,0,3
COMP4901K,2,0,0,2
COMP4121,2,0,0,2
COMP3633,2,0,0,2
COMP4635,2,0,0,2
COMP4633,2,0,0,2
COMP1028,2,0,0,2
COMP4901O,2,0,0,2
COMP4910,1,0,0,1
COMP1991,1,0,0,1
COMP5221,1,0,0,1
